name,type,address
노아베이커리 잠실엘스점,베이커리,서울특별시 송파구 잠실동 19-9
스타벅스 잠실새내역점,카페,서울특별시 송파구 잠실동 181 3필지
나폴레옹과자 잠실점,베이커리,서울특별시 송파구 잠실동 175-1
스타벅스 스타필드코엑스몰R점,카페,서울특별시 강남구 삼성동 159 코엑스 A106호
노티드 삼성,카페,서울특별시 강남구 삼성동 168-26 1층
센터커피 삼성점,카페,서울특별시 강남구 삼성동 169-8
드코닝 코엑스몰점,베이커리,서울특별시 강남구 삼성동 159 코엑스몰 B1F C103호
더치즈샵 잠실새내점,"카페,디저트",서울특별시 송파구 잠실동 19-9 잠실파인애플상가 1층 A-43호
커피빈 신천역점,카페,서울특별시 송파구 잠실동 181-3 효창타워1층
파스쿠찌 삼성역점,카페,서울특별시 강남구 삼성동 168-21 카페파스쿠찌
단하나케이크 신천점,케이크전문,서울특별시 송파구 잠실동 182-4 3층
커스텀커피 잠실엘스점,카페,서울특별시 송파구 잠실동 19-9 잠실엘스 파인애플상가 지하1층
룸메이트 잠실점,룸카페,서울특별시 송파구 잠실동 180-4 3층
이지스스터디카페 잠실새내점,장소대여,서울특별시 송파구 잠실동 19-9 잠실파인애플상가 지하 2층 이지스스터디카페
카페머머,카페,서울특별시 강남구 삼성동 169 대화빌딩 지하 1층
카터알망,베이커리,서울특별시 송파구 잠실동 19-9 잠실 파인애플상가 1층
골든러플 크로플,"카페,디저트","서울특별시 송파구 잠실동 19-9 파인애플상가 지하1층 A16,17호"
한스 잠실새내점,카페,서울특별시 송파구 잠실동 184-5 1층
놀숲 잠실새내점,만화방,서울특별시 송파구 잠실동 181-10 4층
공차 잠실엘스점,차,"서울특별시 송파구 잠실동 19-9 잠실파인애플상가 1층 제A22, 제A23 공차"
포스톤즈커피로스터스,"카페,디저트",서울특별시 강남구 삼성동 168-27 포스톤즈커피로스터스
파리바게뜨 잠실엘스점,베이커리,"서울특별시 송파구 잠실동 19-9 잠실파인애플상가 b동 1A36,1A37,1A38호"
스타벅스 아시아선수촌점,카페,서울특별시 송파구 잠실동 175
비마이게스트 삼성점,브런치,서울특별시 강남구 삼성동 170-7 두양빌딩 1층 102호
말랑슬라임테마카페,슬라임카페,서울특별시 송파구 잠실동 19-9 잠실파인애플상가 2층 56호
하라핸즈커피,카페,서울특별시 송파구 잠실동 182
벌툰 잠실새내점,만화방,서울특별시 송파구 잠실동 180-9 3층 만화카페벌툰
카페희다 잠실야구장점,"카페,디저트",서울특별시 송파구 잠실동 10 1층
달콤 잠실야구장 3루점,카페,서울특별시 송파구 잠실동 10-1 가로판매대
초심스터디카페 잠실새내역점,장소대여,서울특별시 송파구 잠실동 184-1 지하 1층
시작스터디카페 잠실새내2호점,장소대여,서울특별시 송파구 잠실동 181-10 지하 1층 경중빌딩
몬스터핸드 보드게임카페 잠실새내점,보드카페,서울특별시 송파구 잠실동 183-1 4층 몬스터핸드 보드게임카페
투썸플레이스 잠실신천점,카페,서울특별시 송파구 잠실동 177-3
이디야 종합운동장역점,카페,서울특별시 송파구 잠실동 175-6 J타워
4X coffee 엘스직영점,"카페,디저트","서울특별시 송파구 잠실동 19-9 1층 58호, 78호"
몬스터핸드 보드카페,보드카페,서울특별시 송파구 잠실동 177-5
달빛정거장,북카페,서울특별시 송파구 잠실동 195-12 지하1층
커핀그루나루 신천점,카페,서울특별시 송파구 잠실동 182-2
보드게임카페 레드버튼 잠실새내점,보드카페,서울특별시 송파구 잠실동 180-1 4층
보드게임카페 레드버튼 잠실새내점,보드카페,서울특별시 송파구 잠실동 180-1 4층
