name,type,address
까페라리 방이점,카페,서울특별시 송파구 방이동 183-6 한스빌딩
커핀그루나루 올림픽홀점,카페,서울특별시 송파구 방이동 88
커피인류 PLAY,카페,서울특별시 송파구 오금동 80-7 미디어캐슬 1층 커피인류 PLAY
마더,카페,서울특별시 송파구 방이동 212-8
라이브카페비틀즈,라이브카페,서울특별시 송파구 방이동 213-8
이층커피반,"카페,디저트",서울특별시 송파구 방이동 89-11
아이엠바리스타,"카페,디저트",서울특별시 송파구 방이동 201-8
골든커피로스터스,카페,서울특별시 송파구 방이동 187-17
빽다방 방이역코오롱점,테이크아웃커피,서울특별시 송파구 방이동 208-1 민성빌딩
양자의과일디저트카페,"과일,주스전문점",서울특별시 송파구 방이동 225 한양3차 아파트상가 1층 110호
큰수커피,"카페,디저트",서울특별시 송파구 방이동 88-15 한국체육대학교 체육과학관
애니브케이크,카페,서울특별시 송파구 방이동 89-11
혼디커피,"카페,디저트",서울특별시 송파구 방이동 224-4 혼디커피로스터스
스타벅스 올림픽아파트점,카페,서울특별시 송파구 방이동 89-12
키아네,와플,서울특별시 송파구 방이동 89-11
냠냠파라다이스 송파점,아이스크림,서울특별시 송파구 방이동 89-11
드리퍼 카페,"카페,디저트",서울특별시 송파구 방이동 223
라향 베이킹스튜디오,케이크전문,서울특별시 송파구 오금동 82-7 1층
블랙홀,라이브카페,서울특별시 송파구 방이동 223-8
파리바게뜨 올림픽승리점,베이커리,서울특별시 송파구 오금동 3-1 1층
차본,차,서울특별시 송파구 방이동 222-7 창성빌딩 102호
원샷인커피,"카페,디저트",서울특별시 송파구 방이동 88-3
꼬앙드파리,"카페,디저트",서울특별시 송파구 오금동 16-6 1층
배스킨라빈스 방이역점,아이스크림,서울특별시 송파구 방이동 208-4 동흥빌딩
WICH,"카페,디저트",서울특별시 송파구 방이동 188
쥬드베이킹스튜디오,"카페,디저트",서울특별시 송파구 오금동 32-5 1층101호
파르코 커피,카페,서울특별시 송파구 방이동 88
벌크커피 오금점,테이크아웃커피,서울특별시 송파구 오금동 24-2
커피플루마,"카페,디저트",서울특별시 송파구 방이동 187 한사랑빌딩 2층
얼음왕국아이스크림할인점 둔촌중앙점,아이스크림,서울특별시 강동구 둔촌동 545 제상가동 1층 102호
디제르뷔,"카페,디저트","서울특별시 송파구 방이동 222-3 1, 2층"
본죽&비빔밥cafe 둔촌보훈병원점,죽,서울특별시 강동구 둔촌동 89
헬로방방 송파방이점,"키즈카페,실내놀이터",서울특별시 송파구 방이동 227-4 오투존 스포츠센터 5층
테오커피,"카페,디저트",서울특별시 송파구 오금동 81-6
한스커피,카페,서울특별시 송파구 방이동 88
카페베키,"카페,디저트",서울특별시 송파구 방이동 212-3
팥고당 브레드 올림픽점,베이커리,"서울특별시 송파구 방이동 89-12 롯데슈퍼 올림픽점 팥고당 (방이동, BNK 올림픽프라자)"
UEi COFFEE,"카페,디저트",서울특별시 송파구 방이동 211-2 1층
이디야 방이역점,카페,서울특별시 송파구 방이동 208-6
파리바게뜨 둔촌보훈점,베이커리,서울특별시 강동구 둔촌동 75-6
