name,type,address
코벤트가든 올림픽공원점,이탈리아음식,서울특별시 송파구 방이동 183-3 1층
홈수끼,샤브샤브,서울특별시 송파구 방이동 183-6 한스빌딩
방이샤브샤브칼국수 방이본점,샤브샤브,서울특별시 송파구 방이동 213-8
해닭 올림픽공원점,닭요리,서울특별시 송파구 방이동 190-8 1층
제일제면소 올림픽공원점,국수,서울특별시 송파구 방이동 88
우직 방이점,한식,서울특별시 송파구 방이동 201-7
스시작 방이본점,일식당,서울특별시 송파구 방이동 203
우드그린4717,"스파게티,파스타전문",서울특별시 송파구 방이동 191-2 1층
큐스시,이자카야,서울특별시 송파구 오금동 10-7
금왕평양면옥,냉면,서울특별시 송파구 방이동 201-1
요시,이자카야,"서울특별시 송파구 방이동 187-5 1,2층"
포유티,베트남음식,서울특별시 송파구 방이동 208-18
개군할머니토종순대국 방이동직영점,"순대,순댓국",서울특별시 송파구 방이동 187-9 1층
루엔타이,태국음식,서울특별시 송파구 오금동 3-4 베스트 빌딩
전국낙지자랑 본점,낙지요리,서울특별시 송파구 방이동 88
바삭한식당,돈가스,서울특별시 송파구 방이동 222-8
쏘아베,"스파게티,파스타전문",서울특별시 송파구 오금동 3 올림픽 빌딩
송도불고기 올림픽공원점,"육류,고기요리",서울특별시 송파구 방이동 88 1층
베네토,이탈리아음식,서울특별시 송파구 오금동 23
다다 풀코스,일식당,서울특별시 송파구 방이동 192-4 1층
라미옥,"곰탕,설렁탕",서울특별시 송파구 방이동 182-2 1층
촌돼지,돼지고기구이,서울특별시 송파구 오금동 80-9
이찌미돈까스,돈가스,서울특별시 송파구 방이동 191-6
코코루시아,브런치,서울특별시 송파구 방이동 213-1
레스토랑제미,양식,서울특별시 송파구 방이동 188 제1층 제101호
평양만두한상,한식,서울특별시 송파구 방이동 191-13 1층
춘향골남원추어탕 오금본점,추어탕,서울특별시 송파구 오금동 10-3 이시돌빌딩
착한부자 다이어트 도시락 송파점,"다이어트,샐러드",서울특별시 송파구 방이동 223-5 1층 101호
호수보쌈족발,"족발,보쌈",서울특별시 송파구 오금동 89-2 1층
형제짬뽕 방이점,중식당,서울특별시 송파구 방이동 212
재즈잇업,바(BAR),서울특별시 송파구 방이1동 188-14
풍원,한식,서울특별시 송파구 오금동 8-4
솥뚜껑오겹살,"육류,고기요리",서울특별시 송파구 방이동 208-18
불타는 안창살,한식,서울특별시 송파구 방이동 203 1층
다랑 손칼국수,"칼국수,만두",서울특별시 송파구 방이동 89-11
성수옥 올림픽공원점,한식,서울특별시 송파구 오금동 3-1 1층
더램 송파점,양꼬치,서울특별시 송파구 방이동 202-6
트라토리아 브로도,이탈리아음식,서울특별시 송파구 방이동 201-3 거성빌딩 1층
잭슨피자 방이점,피자,서울특별시 송파구 방이동 226-7
방산바지락칼국수,"칼국수,만두",서울특별시 송파구 방이동 223-14 서도빌딩
