name,type,address
다다랩,"카페,디저트",서울특별시 마포구 망원동 376-9 지하 다다랩
진앤제이,"카페,디저트",서울특별시 마포구 망원동 394-54 1층
리벌티 망원,"카페,디저트",서울특별시 마포구 망원동 414-18 1층
리치몬드 과자점 성산본점,베이커리,서울특별시 마포구 성산동 114-5
올웨이즈어거스트로스터스,카페,서울특별시 마포구 망원동 415-53 1층 일부
밀로밀,베이커리,서울특별시 마포구 망원동 396-14 1층
망원동티라미수 본점,"카페,디저트",서울특별시 마포구 망원동 399-36
광합성카페,"카페,디저트",서울특별시 마포구 망원동 57-36
마름모커피,"카페,디저트",서울특별시 마포구 상암동 1514 마름모커피
오또도넛상암점,도넛,서울특별시 마포구 상암동 1485 1층
하이놀리,베이커리,서울특별시 마포구 망원동 429-19 지하1층
컵스커피,"카페,디저트",서울특별시 마포구 망원동 415-32 1층
마핑파,브런치,서울특별시 마포구 망원동 401-34 2층
카펫,"카페,디저트","서울특별시 마포구 망원동 57-12 1,2층"
하나길,"카페,디저트",서울특별시 마포구 망원동 426-15 1층 코너
퍼스널커피,"카페,디저트",서울특별시 마포구 망원동 405-32 1층
이스트우드 망원점,"카페,디저트",서울특별시 마포구 망원동 377-12 2층
구움소리,"카페,디저트",서울특별시 마포구 상암동 36-41
바이어리셔,베이커리,서울특별시 마포구 망원동 429-14 망원 한강공원에서 도보 5분 거리에 있습니다.
블랑제리코팡,베이커리,서울특별시 마포구 망원동 455-17
모아새,"카페,디저트",서울특별시 마포구 망원동 395-17 1층 가운데 매장
모리노코,"카페,디저트",서울특별시 마포구 연남동 487-32 1층
빵쌤 마포구청점,베이커리,서울특별시 마포구 망원동 472-1
오늘의 위로,"카페,디저트",서울특별시 마포구 망원동 467-18 1층
앤트러사이트 서교점,"카페,디저트",서울특별시 마포구 서교동 475-22
카페 세레니티,"카페,디저트",서울특별시 마포구 망원동 373-7 평화빌딩 2F
크림데이 글루텐프리 케이크샵,케이크전문,서울특별시 마포구 망원동 57-51
아네모네시케이크,케이크전문,서울특별시 마포구 망원동 433-3
우그커피,"카페,디저트",서울특별시 마포구 성산동 253-14 1층 101호
카페 고잉홈,"카페,디저트",서울특별시 마포구 망원동 468-17 1층 고잉홈
이오월,"카페,디저트",서울특별시 마포구 상암동 2-34 1층
쁘띠몽드 마포중앙도서관점,"키즈카페,실내놀이터",서울특별시 마포구 성산동  275-3
카페뎀셀브즈 망원동 소아과점,카페,"서울특별시 마포구 망원동 404-4 1층, 2층"
카페훈훈,"카페,디저트",서울특별시 마포구 상암동 1523 카페훈훈
듀이커피,"카페,디저트",서울특별시 마포구 상암동 2-127
브라운 프론트 도어,"카페,디저트",서울특별시 마포구 망원동 403-12 그레이스빌딩 1층 101호
비전스트롤,"카페,디저트",서울특별시 마포구 망원동 422-32 1층
메이븐커피로스터스,"카페,디저트",서울특별시 마포구 상암동 1457 메이븐커피로스터스
꼬르소산도,"카페,디저트",서울특별시 마포구 망원동 474-2
시우,케이크전문,서울특별시 마포구 망원동 474-15 1층
