name,address
무다이,서울특별시 마포구 상암동 33-1 1층 무다이
한강껍데기,서울특별시 마포구 망원동 416-33
청어람 망원점,서울특별시 마포구 망원동 482-3
따식 갈비파스타,서울특별시 마포구 망원동 485-5
헤이로라,서울특별시 마포구 망원동 414-83 1층  Hey  Laura
일등식당,서울특별시 마포구 망원동 476-1
우리바다수산,서울특별시 마포구 성산동 649-5
소금집델리 망원,서울특별시 마포구 망원동 57-38 2층
목로,서울특별시 마포구 상암동 5-2 지1층
도시의어부 상암동DMC점,서울특별시 마포구 상암동 35-7
망원동즉석우동 본점,서울특별시 마포구 망원동 386-4
소점,서울특별시 마포구 연남동 487-278
우이락 망원본점,서울특별시 마포구 망원동 411-21
츄라우미 상암점,서울특별시 마포구 상암동 11-1
이치젠,서울특별시 마포구 망원동 415-31
진진,서울특별시 마포구 서교동 469-67 1층
마이클돈까스 본점,서울특별시 마포구 상암동  1655 월드컵파크 4단지 상가 2층 212호
헤키,서울특별시 마포구 망원동 57-135 1층
웨스트사이드,서울특별시 마포구 망원동 409-11 반지층 정면에서 오른쪽
타코닷,서울특별시 마포구 망원동 57-120 1층
김영섭초밥,서울특별시 마포구 상암동 42-20
티노마드 모리,서울특별시 마포구 망원동 417-14
동동가정식덮밥,서울특별시 마포구 성산동 591-5 상암 스위트포레 202호
프롬하노이,서울특별시 마포구 망원동 57-187 1층 프롬하노이
산이네회무침,서울특별시 마포구 망원동 485-31
카페 나하,서울특별시 마포구 망원동 398-2 2층
몽미 상암본점,서울특별시 마포구 상암동 2-98 1층
순대일번지,서울특별시 마포구 망원동 481-5
코랏,서울특별시 마포구 망원동 57-38 1층 코랏 KORAT
산청엔흑돼지,서울특별시 마포구 망원동 414-5
교동닭강정,서울특별시 마포구 망원동 414-67
한상가득왕솥뚜껑,서울특별시 마포구 상암동 1484 1층
시그니처키친,서울특별시 마포구 상암동 42-5 1층
아마,서울특별시 마포구 망원동 399-46 1층 102호
와이키키마켓,서울특별시 마포구 상암동 1537-2 와이키키마켓
몰라,서울특별시 마포구 망원동 421-15 1층
전설의우대갈비 서울상암직영점,"서울특별시 마포구 상암동 1605 누리꿈스퀘어 공동제작센타 2층 202호, 203호"
주카바 아치,서울특별시 마포구 망원동 414-82
바른치킨 상암점,서울특별시 마포구 상암동 2-222
블루쿠치나,서울특별시 마포구 망원동 57-41
