name,type,address
닥터로빈 고척점,이탈리아음식,서울특별시 구로구 고척동 66-12 귀뚜라미 에너지 크린테니스장 3층
실크로드,중식당,"서울특별시 구로구 고척동 69-34 송림가, 실크로드"
송림가,한정식,서울특별시 구로구 고척동 69-34 송림가
빨봉분식 고척점,분식,서울특별시 구로구 고척동 76-200
태니스피자펍,"맥주,호프",서울특별시 구로구 고척동 52-221
일품각양꼬치훠궈 돔야구장점,양꼬치,서울특별시 구로구 고척동 52-346
신선설농탕 고척점,"곰탕,설렁탕","서울특별시 구로구 고척동 72-1 385,"
샤브향 구로점,샤브샤브,서울특별시 구로구 고척동 76-27
고척동이태리,이탈리아음식,서울특별시 구로구 고척동 52-49 1층 101호
공양,요리주점,서울특별시 구로구 고척동 52-213 2층
계림중화요리,중식당,서울특별시 구로구 고척동 72-5 1층
소담촌 고척점,샤브샤브,서울특별시 구로구 고척동 76-160 골든타워빌딩 2층
고척동 하우마라 마라탕,중식당,서울특별시 구로구 고척동 52-41
레이디오 고척스카이돔,"맥주,호프",서울특별시 구로구 고척동 51-17 1층 106호
놀부부대찌개 고척점,"찌개,전골",서울특별시 구로구 고척동 76-181
고척칼국수,"칼국수,만두",서울특별시 구로구 고척동 52-203 1층
지지고 동양미래대점,"도시락,컵밥",서울특별시 구로구 고척동 52-200
303PLACE,요리주점,서울특별시 구로구 고척동 76-153
동명,돈가스,서울특별시 구로구 고척동 62-135 지하 1층 동명
인생극장 고척점,돼지고기구이,서울특별시 구로구 고척동 52-60 드림캐슬 1층
맥도날드 고척DT점,햄버거,서울특별시 구로구 고척동 72-3
최고당돈가스 고척돔점,돈가스,서울특별시 구로구 고척동 52-240 1층 최고당돈가스 고척돔점
동대문엽기떡볶이 구로고척점,분식,서울특별시 구로구 고척동 76-139
우장창창 고척점,"곱창,막창,양",서울특별시 구로구 고척동 76-201
청년다방 동양미래대점,분식,서울특별시 구로구 고척동 52-201
신감성반점,중식당,서울특별시 구로구 고척동 52-242
고척돈까스,돈가스,서울특별시 구로구 고척동 52-385
김떡비 고척본점,종합분식,서울특별시 구로구 고척동 51-18
전주맛집,한식,서울특별시 구로구 고척동 52-81
타코비&치즈볼 고척스카이돔점,일식당,서울특별시 구로구 고척동  63-9
BHC치킨 고척점,"치킨,닭강정",서울특별시 구로구 고척동 52-81
곱분이곱창 고척스카이돔점,"곱창,막창,양",서울특별시 구로구 고척동 52-201
고척면가,"칼국수,만두",서울특별시 구로구 고척동 57-34 1층 101호
대왕곱창구이,"곱창,막창,양",서울특별시 구로구 고척동 76-181
맘스터치 동양미래대점,"치킨,닭강정",서울특별시 구로구 고척동 52-196
지금보고싶다 고척점,요리주점,서울특별시 구로구 고척동 76-88 2층
두부이야기 고척점,두부요리,서울특별시 구로구 고척동 52-49 1층 103호 두부이야기 고척점
만포순대국 돼지국밥,한식,서울특별시 구로구 고척동 76-88
싸움의고수 동양미래대학점,"족발,보쌈",서울특별시 구로구 고척동 62-135
