name,type,address
플라잉수원,"관람,체험",경기도 수원시 팔달구 지동 255-4
카페메이븐,브런치,경기도 수원시 팔달구 남수동 11-443 1층 카페메이븐
트레저가든,"카페,디저트",경기도 수원시 팔달구 우만동 147-7 2층 트레저가든
모이커피클래식,"카페,디저트",경기도 수원시 팔달구 우만동 499-4 월드컵로325
DU COUPLE,베이커리,경기도 수원시 영통구 원천동 38-26
빵준서 광교점,"카페,디저트",경기도 수원시 영통구 이의동 1348 광교중앙역 SK VIEW B동 128~136호(이의동)
카페 초안,"카페,디저트",경기도 수원시 팔달구 북수동 297-2
해피누디,"카페,디저트",경기도 수원시 영통구 이의동 1351-6 알파동 지하1층 104호
카페리무,"카페,디저트",경기도 수원시 장안구 연무동 236-28 1층 101호
달리당,베이커리,경기도 수원시 팔달구 남수동 11-92 1층
사맛디커피실록,"카페,디저트",경기도 수원시 장안구 연무동 193-398 사맛디커피실록
제이스토리케이크,케이크전문,경기도 수원시 팔달구 우만동 88-3
나따오비까 광교아브뉴프랑점,"카페,디저트",경기도 수원시 영통구 이의동 1332 cb38-2호
피크닉타이거,"카페,디저트",경기도 수원시 영통구 이의동 1331 광교월드스퀘어 1층 89호
우만동커피,"카페,디저트",경기도 수원시 팔달구 우만2동 29-1 상가 104호
블루오즈,브런치,경기도 수원시 영통구 이의동 1305-4
꼬따꼬뜨,"카페,디저트",경기도 수원시 영통구 이의동 1307 지하 1층
팬케익 팬트리,브런치,경기도 수원시 영통구 이의동 1305-7 1층
퍼스트크랙,"카페,디저트",경기도 수원시 영통구 이의동 1352 에듀하임1309 상가 102동 108호
오봉베르,베이커리,경기도 수원시 영통구 이의동 1319-5 지하1층 오봉베르
카페주인,"카페,디저트",경기도 수원시 영통구 이의동 1254 나보나스퀘어 215호
카페쿠츠,"카페,디저트",경기도 수원시 영통구 원천동 29-57 1층
라피에나,브런치,경기도 수원시 팔달구 남수동 11-73 라피에나
유과당,"카페,디저트",경기도 수원시 팔달구 우만동 141-6 1층 유과당
"카페,베키",베이커리,경기도 수원시 영통구 이의동 1347-1 월드프라자1층 101호
카페 그루비,"카페,디저트",경기도 수원시 영통구 이의동 1319-7
로크마데이 광교점,"카페,디저트",경기도 수원시 영통구 이의동 1278 1층
레피다,케이크전문,경기도 수원시 팔달구 우만동 477-16 1층 101호 레피다
에이프런,브런치,경기도 수원시 영통구 이의동 1319-4 1층Apron
바닐리,"카페,디저트",경기도 수원시 영통구 이의동 1331 204동 1-63호
스니프 스니퍼즈,"카페,디저트","경기도 수원시 장안구 연무동 250 1층 스니프 스니퍼즈, 보훈교육원 건너편 연무시장 천길옆 도보 2분"
유메야 아주대점,"카페,디저트",경기도 수원시 영통구 원천동 29-15
스타벅스 수원연무DT점,카페,경기도 수원시 장안구 연무동 247-16
베이비엔젤스 이마트 광교점,"키즈카페,실내놀이터",경기도 수원시 영통구 이의동 1240 2층 베이비엔젤스
아이스걸크림보이 광교점,아이스크림,경기도 수원시 영통구 이의동 1331 B1층 68호 아이스걸 크림보이 광교점
온앤온,"카페,디저트",경기도 수원시 팔달구 우만동 57-2 2층
수케이크,케이크전문,경기도 수원시 팔달구 우만동 532-27 수케이크
카페먼로,"카페,디저트",경기도 수원시 팔달구 북수동 273 1층
비건 비긴즈,베이커리,경기도 수원시 영통구 이의동 1322-5
복호두 광교점,호두과자,경기도 수원시 영통구 이의동 1332 써밋플레이스 203동 Cb16호
